idimplantation,usual_name,Vocable,lat,lng,location_granularity,Diocese,nbfact,date_startC_Fact,date_stopC_Fact,DureeSFact,date_startStatut,date_stopStatut,DureeStatut
1106,"Sommières-du-Clain, Bernay (d. Charroux)",Sainte Marie-Madeleine,46.276818,0.373778,approximative,Poitiers,8,1061,1791,730,1061,1791,730
1107,"Benest, Saint-Justin (Charroux)",Saint Justin,46.0392326,0.4514175,precise,Poitiers,3,1061,1800,739,1061,1800,739
1108,"Sourzac, Saint-Pierre (Charroux)",Saint Pierre,45.0516789,0.3960693,precise,Périgueux,7,1082,1800,718,1082,1800,718
1109,"La Chapelle-Faucher, Notre-Dame (Charroux)",Notre-Dame de l'Assomption,45.3705,0.7510187,precise,Périgueux,7,1096,1800,704,1096,1800,704
1110,Saint-Fraigne (Charroux),Saint Fraigne,45.953982,-0.006772,precise,Angoulême,8,1061,1762,701,1061,1762,701
1111,"Loubillé, Saint-Saturnin (Charroux)",Saint Saturnin,46.0493252,-0.0620345,precise,Poitiers,9,1050,1769,719,1050,1769,719
1112,"Niort, Notre-Dame (d. Charroux)",Notre-Dame,46.322791,-0.4659597,precise,Poitiers,5,1167,1762,595,1167,1762,595
1113,"Charroux, Saint-Rémi (prieuré)",Saint Rémi ou sainte Christine,46.1421526,0.3980712,precise,Bordeaux,8,1400,1794,394,1400,1794,394
1114,La Chapelle-Belloin (d. Charroux),Saint Germain,46.9915131,0.1937261,precise,Poitiers,4,1204,1800,596,1204,1800,596
1115,"Cose, Saint-Jean",Saint Jean,NA,NA,NA,Sarlat,7,1102,1800,698,1102,1800,698
1116,"Montpezat, Saint-Martin (Charroux)",Saint Martin,44.237519,1.4824064,precise,Cahors,7,1096,1800,704,1096,1800,704
1117,Saint-Claud (d. Charroux),NA,45.898587,0.471618,approximative,Angoulême,4,1099,1800,701,1099,1800,701
1118,Barret - Saint-Pardoux (prieuré Baignes),Saint Pardoux,45.4881916,-0.2022033,precise,Saintes,5,1075,1800,725,1075,1800,725
1119,Beaulieu,Sainte Trinité,47.1288437,1.0125889,precise,Tours,1,NA,NA,NA,NA,NA,NA
1120,Saint-Germain de Lusignan (prieuré Baignes),Saint Germain,45.4492518,-0.4584311,precise,Saintes,5,1075,1800,725,1075,1800,725
1121,Jonzac - Notre-Dame (chapelle castrale Baignes),Notre-Dame,45.4457955,-0.4311548,precise,Saintes,3,1075,1800,725,1075,1800,725
1122,Clam - Saint-Martin (égl. Baignes),Saint Martin,45.491678,-0.445534,precise,Saintes,3,1083,1800,717,1083,1800,717
1123,"Brissac Loire Aubance, Saint-Saturnin (Charroux)",Saint Saturnin,47.384153,-0.429184,approximative,Angers,5,869,1800,931,869,1800,931
1124,Connexe,Saint Michel,45.0603161,5.7278166,precise,Grenoble,7,1020.5,1791,770.5,993,1791,798
1125,Allas-Champagne - Notre-Dame (prieuré Baignes),Notre-Dame,45.471918,-0.334475,precise,Angoulême,8,1066,1800,734,1066,1800,734
1126,"Vouharte, Notre-Dame (Charroux)",Notre-Dame,45.815265,0.073996,precise,Angoulême,7,1050,1800,750,1050,1800,750
1127,Condéon - Saint-Marien (prieuré Baignes),Saint Marien,45.4081367,-0.1377237,precise,Angoulême,5,1219,1800,581,1219,1800,581
1128,Passirac - Saint-Pierre (Baignes),Saint Pierre,45.3452045,-0.0657412,precise,Saintes,5,1077,1800,723,1077,1800,723
1129,"Auxerre, Saint-Julien",Saint Julien,47.793654,3.58169,approximative,Auxerre,6,635.5,1791,1155.5,634,1791,1157
1130,Archiac - Notre-Dame (chapelle castrale Baignes),Notre-Dame,45.5208998,-0.3034788,precise,Saintes,1,NA,NA,NA,NA,NA,NA
1131,Boisset - Notre-Dame (prieuré Baignes),Notre-Dame,45.541442,-0.2651652,precise,Saintes,5,1095,1800,705,1095,1800,705
1132,Saint-Eugène (prieuré Baignes),Saint Eugène,45.5075439,-0.2847095,precise,Saintes,10,1083,1800,717,1083,1800,717
1133,"Nontron, Saint-Sauveur (Charroux)",Saint Sauveur,45.528978,0.6626535,precise,Limoges,6,1050,1800,750,1050,1800,750
1134,"Saint-Angel, Saint-Michel-des-Anges (Charroux)",Saint Michel des anges,45.5027396,2.2340866,precise,Limoges,5,1050,1793,743,1050,1793,743
1135,La Cellette (d. Charroux),Saint Pierre,46.401501,2.010023,approximative,Limoges,9,1077,1800,723,1077,1800,723
1136,"Magnac-Laval, Saint-Maximin (Charroux)",Saint Maximin,46.2148818,1.1683421,precise,Limoges,6,1080,1800,720,1061,1800,739
1137,Bellecombe 2,Notre-Dame,45.100225,4.159833,precise,Le Puy,11,1028,1800,772,1028,1800,772
1138,"Rochechouart, Saint-Sauveur (Charroux)",Saint Sauveur,45.8233679,0.8209822,precise,Limoges,7,1067,1800,733,1067,1800,733
1139,"Andres, Saint-Sauveur (Charroux)",Saint Sauveur et sainte Rotrude,50.866296,1.918892,approximative,Thérouanne,7,1084,1790,706,1084,1790,706
1140,"Ham, abbaye Saint-Sauveur (Charroux)",Saint Sauveur,50.5902901,2.4521915,precise,Thérouanne,8,1079,1791,712,1079,1791,712
1141,"Labeuvrière, Sainte-Christine (Charroux)",Sainte Christine,50.5221717,2.5621359,precise,Thérouanne,4,1100,1800,700,1100,1800,700
1142,"Issoire, Saint-Austremoine (Charroux)","Saint Austremoine, saint Pierre",45.5436188,3.2501981,precise,Clermont,14,551,1790,1239,551,1790,1239
1143,"Pleaux, Saint-Sauveur (Charroux)",Saint Sauveur,45.130057,2.248619,approximative,Clermont,7,883,1800,917,883,1800,917
1144,Afflighem,Saint Pierre et saint Paul,NA,NA,NA,Cambrai,2,1107,1107,0,NA,NA,NA
1145,Alost,NA,NA,NA,NA,Cambrai,5,1096,1107,11,1096,1107,11
1146,Chartreuse Sainte-Catherine,Catherine,NA,NA,NA,Cambrai,3,1543,1543,0,NA,NA,NA
1147,Aubechies,Sainte Trinité,NA,NA,NA,Cambrai,6,1077,1800,723,1077,1800,723
1148,Olive-sur-L'Ermitage,NA,NA,NA,NA,Cambrai,4,1233,1794,561,1233,1794,561
1149,Aymeries,NA,50.205572,3.831809,commune,Cambrai,3,1088,1800,712,1088,1800,712
1150,Beaupré,NA,NA,NA,NA,Cambrai,3,1228,1800,572,1228,1800,572
1151,Berlaimont,NA,50.205938,3.79333,commune,Cambrai,1,NA,NA,NA,NA,NA,NA
1152,Bois-Saint-Martin,NA,NA,NA,NA,Cambrai,1,NA,NA,NA,NA,NA,NA
1153,Saint-Sépulcre de Cambrai,NA,50.17037,3.242336,commune,Cambrai,3,1064,1800,736,1064,1800,736
1154,Cambron,NA,NA,NA,NA,Cambrai,4,1148,1800,652,1148,1800,652
1155,Le Cateau-Cambrésis,Saint-André,50.1045751,3.5445247,precise,Cambrai,3,1025,1800,775,1025,1800,775
1156,Cortenberg,Sainte Marie,NA,NA,NA,Liège,3,1095,1800,705,1095,1800,705
1157,Maegdendaele,NA,NA,NA,NA,Cambrai,3,1233,1800,567,1233,1800,567
1158,Moorseel,"Saint Sauveur, puis sainte Gudule",50.8406095,3.1639308,precise,Cambrai,3,700,988,288,700,988,288
1159,La Chapelle d'Enghien,Sainte Marie,NA,NA,NA,Cambrai,3,1314,1783,469,1314,1783,469
1160,Englos,Saint Corneille,50.626797,2.957746,commune,Cambrai,5,1101,1471,370,1101,1471,370
1161,Fescau,NA,50.137381,3.90007,commune,Cambrai,4,601,1800,1199,601,1800,1199
1162,Fesmy-sur-Sambre,Saint Etienne,NA,NA,NA,Arras,3,1080,1800,720,1080,1800,720
1163,Les Fontenelles,NA,50.303889,3.489057,commune,Cambrai,3,1212,1800,588,1212,1800,588
1164,Forest-les- Bruxelles,NA,NA,NA,NA,Cambrai,5,1107,1796,689,1107,1796,689
1165,Ghislenghien,NA,NA,NA,NA,Cambrai,3,1126,1800,674,1126,1800,674
1166,Grammont,Saint-Pierre puis saint-Adrien,50.773965,3.8828055,precise,Cambrai,4,1081,1796,715,1081,1796,715
1167,Pommeroeul,Sainte Trinité,NA,NA,NA,Cambrai,3,1082,1800,718,1082,1800,718
1168,Riessies,NA,50.141631,3.859687,commune,Cambrai,3,1201,1800,599,1201,1800,599
1169,Sains-lès-Marquion,Sainte Saturnine,50.184706,3.078998,commune,Cambrai,2,1024,1025,1,NA,NA,NA
1170,Saint-Denis-en-Broqueroye,NA,NA,NA,NA,Cambrai,4,1081,1800,719,1081,1800,719
1171,Ten Roosen,Sainte Marie,NA,NA,NA,Cambrai,7,1228,1800,572,1228,1800,572
1172,Notre-Dame-la Grande,Sainte Marie,50.359123,3.515991,commune,Cambrai,3,1086,1800,714,1086,1800,714
1173,Vaucelles,NA,50.073543,3.268657,commune,Cambrai,4,1132,1800,668,1132,1800,668
1174,Le Verger,NA,50.351985,3.433508,commune,Cambrai,1,NA,NA,NA,NA,NA,NA
